time,rsam,mf,hf,dsar
2011-01-01 00:00:00,128.45375989758696,69.15410872233215,83.18721574304158,1.8204042514473933
2011-01-01 00:00:05,112.82656089430178,39.4615810603617,60.614165700544255,1.3224497769624544
2011-01-01 00:00:10,97.69582731680129,41.34342576938068,65.262146185342,1.3231268292329528
2011-01-01 00:00:15,104.23508294771987,45.82953512625607,51.809164256279615,1.772195299938513
2011-01-01 00:00:20,92.82956324561925,45.42014293479644,63.411781576737575,1.5057694372297794
2011-01-01 00:00:25,153.98592688498115,41.66230309986373,64.64175789716305,1.3607861600311741
2011-01-01 00:00:30,83.51179070831199,45.84092220538182,59.654487400176926,1.441152031342042
2011-01-01 00:00:35,100.54890849890607,45.33978816969995,67.4154946212956,1.2960500125644117
2011-01-01 00:00:40,94.85799234326879,47.070182808534824,84.92385554267175,1.0647622817137894
2011-01-01 00:00:45,101.63555014765977,44.47142331232818,72.46005457117467,1.1768360314031645
2011-01-01 00:00:50,111.37475602170674,62.28127685057661,67.74253612243933,1.6180136191638725
2011-01-01 00:00:55,98.5851436097867,36.84808697258684,64.20547018010063,1.0947820547478588
2011-01-01 00:01:00,122.08533730842653,41.611943997096155,55.195843916015605,1.478159766016109
2011-01-01 00:01:05,149.33141586772848,50.97555124914697,65.84359106579255,1.5809512607652008
2011-01-01 00:01:10,123.61387418458933,52.6627820462954,70.31564537568347,1.5302384335252728
2011-01-01 00:01:15,104.4835763577805,50.17088312810294,84.74555207757672,1.086236893122594
2011-01-01 00:01:20,165.42966886512787,55.50263351194917,73.09591820010793,1.5301356078577648
2011-01-01 00:01:25,260.9314140631504,100.02614830526018,121.88239218297521,1.549170736068444
2011-01-01 00:01:30,408.00636465908286,96.52408265077942,75.42484391861858,2.119468323673397
2011-01-01 00:01:35,632.0569349569818,114.02097988860253,88.17317420876685,2.5426420951052213
2011-01-01 00:01:40,518.0804866789855,159.90919484872182,91.76900436695944,3.5333906388952667
2011-01-01 00:01:45,429.0660672910394,179.75817965303003,116.26504211319569,2.909208351068898
2011-01-01 00:01:50,564.9371816893138,173.64117020271928,106.06160718150086,2.684534357489167
2011-01-01 00:01:55,566.9243534110963,183.4678874162378,121.81709471772112,2.47210937648197
2011-01-01 00:02:00,262.45922118118307,118.20860437719628,121.68462542272715,1.7434047683524452
2011-01-01 00:02:05,233.98877253356764,132.8975116951786,131.1950261410397,1.487903001443416
2011-01-01 00:02:10,162.83644215136746,133.01282161642905,115.04660406332697,1.6281137748340244
2011-01-01 00:02:15,193.72161625652274,89.32958422157019,104.78821392124651,1.4253955044019013
2011-01-01 00:02:20,288.1091731422442,101.70690378292167,106.50979558830473,1.6245835988725899
2011-01-01 00:02:25,189.9159504148585,125.60911110032153,118.23755893851238,1.6254408475293847
2011-01-01 00:02:30,189.8230497995031,133.19268026675417,113.83971601800846,1.793605383856519
2011-01-01 00:02:35,149.48738844602406,83.22505979323445,102.69263243758793,1.4313765830058616
2011-01-01 00:02:40,182.4308757547294,99.07264357871928,115.37655432649724,1.7025298162322557
2011-01-01 00:02:45,191.16706407556183,84.4058323203067,100.67385826272601,1.4424123567963019
2011-01-01 00:02:50,189.29058298638503,93.04797649041544,90.07200876024952,1.886129954157372
2011-01-01 00:02:55,220.34853056921176,103.34355794150456,112.99362338232213,1.6815315258983052
2011-01-01 00:03:00,354.12489154730577,110.57727053116365,100.68468678669277,2.0239893424775017
2011-01-01 00:03:05,186.08211156007596,66.3896504554311,76.64543647856195,1.5655133909538532
2011-01-01 00:03:10,164.77642601535968,64.01482867275787,77.82305692671845,1.5508760067432343
2011-01-01 00:03:15,127.36318812362795,66.77620887813062,97.04519106614313,1.2720834140976418
2011-01-01 00:03:20,151.99171122959203,57.360775714056196,78.56830954735665,1.3068400003492242
2011-01-01 00:03:25,214.40456925708182,102.90991467808962,93.9439414976609,1.9412002656197724
2011-01-01 00:03:30,245.9268423235903,71.79093822137197,82.48397690710974,1.748458924893183
2011-01-01 00:03:35,138.97866256547016,91.46153970205427,78.88537288150133,2.136945598297003
2011-01-01 00:03:40,175.56079194390196,57.09763701026267,84.17646951197676,1.3216918132441564
2011-01-01 00:03:45,155.40326281384515,76.98514450150911,82.74055856766734,1.728025960474399
2011-01-01 00:03:50,180.0073623228724,80.37878074580655,80.78451864022558,1.9523708987980652
2011-01-01 00:03:55,225.36055188928745,79.76487027958918,85.82377493968457,1.8528415636495041
2011-01-01 00:04:00,176.15480398597566,83.31698984091668,108.13290509753435,1.5021981031669334
2011-01-01 00:04:05,130.38953300047976,77.65382450237786,70.43772309598165,2.2127355749487223
2011-01-01 00:04:10,127.41595464548693,80.01098156196919,86.54287631332775,1.78772060287486
2011-01-01 00:04:15,160.96300092700466,61.270263321244045,81.7921953325356,1.5209513964120738
2011-01-01 00:04:20,188.26938157954245,73.02606475094686,90.42152476422832,1.5812883942095775
2011-01-01 00:04:25,175.467818235375,82.87125910534006,87.43507594688647,1.8810875628801502
2011-01-01 00:04:30,150.5460966234138,68.93566661951847,77.83744077993174,1.6918073449463342
2011-01-01 00:04:35,167.98099482044563,63.259817978079724,77.68970987395863,1.5092453086355413
2011-01-01 00:04:40,204.28989063553803,52.54502040952149,72.91417221215315,1.554877551241721
2011-01-01 00:04:45,165.060023497269,48.067480474790955,60.80851355150755,1.619916682731106
2011-01-01 00:04:50,217.36605760907364,57.25811395560122,97.64245186094507,1.1282460219203594
2011-01-01 00:04:55,203.11707181193046,64.23182487032962,104.42520440027086,1.1665777553911327
